date,EUR,USD,JPY,GBP,SGD,AUD,CNY,CAD,MYR,RUB
2022-05-18,15436.570479,14740.38115,115.232301,18197.102797,10593.616074,10257.103696,2182.247146,11439.776759,3353.440065,229.418597
2022-05-19,15479.434139,14633.01868,114.466537,18234.745639,10595.805043,10303.418987,2179.731735,11413.855012,3323.714497,235.535785
2022-05-20,15497.85256,14672.74689,114.686252,18323.526263,10635.353858,10324.050386,2192.229708,11427.639968,3343.0348,236.653086
2022-05-21,15497.980058,14672.8676,114.688325,18323.905838,10635.441353,10324.207964,2192.241192,11427.733981,3343.047069,236.655987
2022-05-22,15486.158284,14652.22866,114.551447,18319.865791,10624.948268,10347.838344,2189.141219,11433.922495,3338.337114,234.429957
2022-05-23,15622.920294,14626.02175,114.420746,18382.250899,10642.292426,10367.697398,2199.110757,11437.480841,3331.986602,249.69116
2022-05-24,15711.340858,14636.05669,115.44517,18354.723715,10673.203108,10395.664955,2199.531525,11413.642892,3329.683502,256.205003
2022-05-25,15626.471116,14623.25167,115.000778,18402.360402,10636.561903,10366.615627,2184.893472,11405.613925,3327.171548,242.301901
2022-05-26,15680.722951,14610.51361,114.999343,18433.188173,10644.640062,10371.039914,2168.040791,11437.87566,3322.028437,227.398371
2022-05-27,15608.292003,14539.59225,114.397496,18362.012364,10577.941572,10411.675331,2170.496578,11428.071282,3320.201102,221.131321
2022-05-28,15608.695151,14539.65562,114.398084,18361.860502,10577.910719,10411.646153,2170.502798,11428.300743,3320.238318,221.130637
2022-05-29,15642.851624,14577.417,114.516547,18406.526762,10652.658156,10438.686555,2176.13338,11456.000534,3328.891817,219.205982
2022-05-30,15662.922919,14538.95157,113.773837,18386.513355,10635.740986,10460.730987,2182.563687,11487.884362,3329.749488,224.969441
2022-05-31,15612.976719,14546.14202,112.988291,18339.942532,10618.164446,10447.262896,2179.919047,11507.932706,3322.083675,231.80678
2022-06-01,15505.152359,14555.77188,111.856746,18169.051065,10584.938174,10440.906299,2176.964418,11491.096455,3320.892767,229.218329
2022-06-02,15518.769079,14435.40381,111.106266,18157.512245,10532.716402,10489.930973,2167.334862,11483.190392,3277.377039,227.32633
2022-06-03,15472.309472,14433.80806,110.324691,18025.136196,10498.460239,10402.294719,2167.092022,11462.408027,3287.082205,227.800238
