date,EUR,USD,JPY,GBP,SGD,AUD,CNY,CAD,MYR,RUB
6/12/2013,13141.76235,9861.31563,102.286203,15458.06131,7852.241197,9356.797129,1605.606765,9666.250691,3146.127248,305.565654
6/13/2013,13203.94913,9881.04329,103.526467,15521.10096,7895.991122,9493.426679,1608.931442,9718.262395,3152.924057,307.888475
6/14/2013,13185.51289,9883.99232,104.657964,15499.68217,7893.049511,9466.428173,1610.18246,9713.710967,3168.149343,310.518568
6/15/2013,13186.16114,9882.76405,104.764565,15517.71013,7897.36619,9466.158418,1610.189592,9715.463764,3171.201495,311.100508
6/16/2013,13103.78347,9818.92703,104.254041,15424.49815,7848.737055,9405.102519,1599.728738,9651.948324,3152.366148,308.961039
6/17/2013,13224.18625,9900.02255,104.708914,15560.44599,7893.810589,9470.080878,1614.208681,9728.126554,3163.88657,312.101423
6/18/2013,13261.62571,9903.64946,103.963163,15493.81956,7860.101636,9386.099911,1614.381522,9706.510237,3144.504847,309.858843
6/19/2013,13191.34186,9906.03817,103.363227,15371.30603,7833.832735,9244.242826,1614.505092,9669.238519,3143.31712,306.479077
6/20/2013,13110.00774,9914.18115,102.172103,15364.62999,7799.686217,9123.619519,1615.247822,9591.058393,3107.182729,302.786604
6/21/2013,13038.54367,9917.76824,101.468818,15308.74159,7777.299791,9146.53261,1614.041454,9522.032567,3098.160128,302.204402
6/22/2013,13022.57901,9920.34024,101.456788,15298.30713,7775.414419,9150.845631,1614.305025,9494.238803,3096.545298,302.104556
6/23/2013,12911.74195,9840.94236,100.277994,15163.47303,7717.296664,9084.058598,1601.327536,9397.475492,3064.788011,300.045745
6/24/2013,13019.37357,9923.23634,101.470177,15302.77325,7774.028438,9162.560562,1612.315297,9452.681838,3081.626003,301.842535
6/25/2013,12985.85491,9918.33626,101.314244,15296.63211,7798.783013,9189.345483,1611.02965,9443.426349,3106.965927,302.37733
6/26/2013,12914.73519,9920.58298,101.536062,15206.75524,7793.502376,9209.943722,1605.261937,9465.482578,3098.439309,301.416086
6/27/2013,12931.14121,9920.25429,100.977968,15142.42103,7823.544393,9214.600206,1603.612933,9473.032429,3119.586631,302.334139
6/28/2013,12918.70799,9919.75912,100.295841,15104.08539,7829.204843,9094.272046,1606.698918,9449.819592,3134.670589,302.21718
6/29/2013,12908.26491,9919.74342,100.074144,15088.89815,7828.75993,9070.972521,1607.276911,9439.643168,3137.967677,302.121527
6/30/2013,12805.54585,9841.19004,99.130977,14964.85819,7759.844538,8992.890664,1598.820856,9357.856739,3112.006034,299.675666
7/1/2013,12954.78337,9921.0322,99.662651,15098.89692,7839.057041,9146.843377,1615.019453,9442.217358,3133.874608,301.425888
7/2/2013,12891.08523,9923.29959,98.987615,15049.21153,7815.591007,9085.02439,1615.370148,9422.136167,3133.15576,299.77511
7/3/2013,12907.90021,9933.01645,99.394513,15164.91061,7808.177191,9024.764183,1617.494321,9448.497498,3121.254046,299.800117
7/4/2013,12842.14431,9930.57335,99.187175,15005.62618,7799.390026,9072.911067,1617.736627,9437.28639,3119.604103,298.574423
7/5/2013,12756.49456,9933.22718,98.639164,14816.2033,7768.952416,9028.56497,1612.133846,9409.316441,3115.847132,298.182553
7/6/2013,12744.75709,9933.13623,98.294046,14792.45902,7758.98972,9005.236646,1611.988275,9395.702072,3114.909916,297.870709
7/7/2013,12745.91993,9934.55237,98.06655,14789.06196,7755.007509,9003.663591,1614.489681,9392.865799,3112.991605,297.814848
7/8/2013,12815.43385,9964.8969,98.645224,14881.6429,7783.37309,9086.090251,1621.632113,9431.721674,3106.225889,299.918042
7/9/2013,12765.04227,9968.47681,98.556454,14824.77739,7795.18049,9136.087846,1623.197326,9456.501802,3124.258168,301.592872
7/10/2013,12956.59631,9971.65565,100.040759,15000.38458,7850.831916,9208.373565,1622.961772,9533.040459,3132.785313,303.612438
7/11/2013,13052.24711,9976.48508,100.352717,15121.84358,7895.287338,9164.341166,1623.562825,9590.28433,3146.014878,304.941054
7/12/2013,13044.6996,9988.84827,100.706288,15096.19192,7912.397733,9033.141861,1625.365834,9612.795702,3146.827377,305.79171
7/13/2013,13055.23732,9992.6092,100.661505,15094.34782,7918.011109,9044.06741,1625.771462,9614.287006,3147.24875,306.15859
7/14/2013,13105.31252,10032.90305,101.084832,15152.23827,7948.616763,9094.941711,1632.28202,9652.962448,3158.387784,307.570861
7/15/2013,13064.8847,10007.96298,100.349097,15099.97734,7922.706602,9104.024398,1626.665677,9603.096434,3140.176708,306.905836
7/16/2013,13157.39688,10020.01559,100.849749,15141.69337,7956.308334,9251.750249,1625.646825,9638.0593,3144.984696,308.264161
7/17/2013,13172.0599,10038.82201,100.807701,15236.8855,7963.021552,9264.238988,1633.880304,9642.144198,3146.818178,310.111916
7/18/2013,13171.4996,10043.92702,100.331384,15251.5785,7944.322125,9231.805123,1634.261659,9666.73117,3145.815108,309.639941
7/19/2013,13216.95908,10060.35274,100.336072,15310.46392,7952.722281,9243.504268,1636.894361,9686.548821,3150.861051,310.595496
7/20/2013,13251.90078,10084.69649,100.367949,15393.89796,7966.738942,9259.915791,1640.612355,9726.470579,3157.120873,311.502863
7/21/2013,13254.77134,10085.68806,100.407547,15393.76669,7971.23758,9269.50789,1640.813707,9731.087241,3157.935493,311.605391
7/22/2013,13275.5045,10076.77169,100.843188,15451.85342,7979.515604,9307.850186,1638.877869,9736.669813,3162.739185,311.498621
7/23/2013,13331.5151,10098.88932,101.241166,15495.74867,7991.650829,9357.581698,1643.303586,9788.306359,3172.877809,312.523363
7/24/2013,13444.66603,10198.58586,101.803681,15604.9053,8051.74823,9350.324428,1659.766699,9877.852005,3200.038236,314.711917
7/25/2013,13538.81076,10222.61445,102.64979,15696.91278,8083.866018,9434.633832,1663.858652,9923.037935,3200.337624,314.252194
7/26/2013,13649.64156,10279.40856,104.154384,15813.98812,8128.906378,9523.085138,1673.710096,9996.701832,3206.613416,314.366538
7/27/2013,13645.29674,10276.68233,104.502006,15807.36223,8130.543949,9517.914209,1673.519618,9996.480968,3203.734219,313.498622
7/28/2013,13618.19264,10254.9076,104.477543,15779.45129,8113.958508,9504.613417,1669.965526,9980.056835,3197.314793,312.653435
7/29/2013,13632.85754,10278.62927,104.90202,15783.40873,8114.878158,9464.319242,1673.681315,10008.40241,3190.238452,313.227307
7/30/2013,13638.56196,10281.83909,104.868283,15689.08078,8098.933534,9330.839889,1674.345744,9987.604268,3184.730613,312.394277
7/31/2013,13675.59673,10286.37359,105.130024,15631.83635,8091.606298,9225.778136,1675.441582,9999.682687,3172.133847,312.033751
8/1/2013,13598.69431,10286.8683,103.875727,15572.00772,8069.777602,9203.439412,1675.058344,9962.489637,3171.728887,311.172036
8/2/2013,13662.61115,10299.42279,104.023068,15711.35673,8091.814074,9172.00049,1677.90592,9932.036751,3164.496291,312.843263
8/3/2013,13677.91353,10299.33211,104.024159,15745.80662,8095.049996,9171.838058,1678.033301,9915.40753,3162.029882,313.350672
8/4/2013,13655.35088,10281.65989,103.934424,15715.9058,8085.926538,9158.139354,1675.214075,9896.202791,3162.371362,312.926873
8/5/2013,13616.66914,10266.15153,104.306279,15746.83876,8091.229138,9158.111607,1673.625308,9899.952295,3175.003489,312.212844
8/6/2013,13676.60672,10285.49208,104.955907,15790.30993,8114.978721,9241.232776,1677.861458,9912.580791,3169.516192,312.16174
8/7/2013,13730.16694,10299.82203,106.383184,15922.79942,8126.989987,9256.020588,1680.591126,9896.157755,3167.18799,312.453079
8/8/2013,13767.73999,10294.55222,106.547278,15987.56382,8157.331395,9366.347211,1679.744971,9941.336533,3164.545776,313.075706
8/9/2013,13730.5147,10285.80317,106.759527,15956.38232,8172.935806,9452.473138,1678.133945,9977.208123,3163.130092,312.719663
8/10/2013,13721.62215,10285.86518,106.806708,15948.80868,8179.029079,9465.403964,1678.248109,9994.621898,3163.129707,312.80657
8/11/2013,13718.02883,10285.9152,106.807782,15950.86485,8177.768308,9457.530135,1678.204245,10000.7926,3162.551831,313.020469
8/12/2013,13690.36317,10294.33168,106.174844,15917.7568,8156.251826,9404.651635,1679.558258,9987.902821,3167.31125,312.425942
8/13/2013,13667.6886,10301.20022,105.211748,15915.82624,8136.680479,9379.137238,1680.755668,9967.778044,3162.496614,311.706081
8/14/2013,13658.12479,10300.27481,105.088556,15959.27366,8118.251241,9392.062378,1681.032552,9962.737271,3148.313652,311.339492
8/15/2013,13813.29895,10356.52089,106.183982,16184.59273,8160.395305,9469.771488,1691.727823,10043.36866,3160.887327,314.327651
8/16/2013,13852.36148,10392.04158,106.476698,16239.08738,8181.807974,9542.299784,1697.308291,10057.82021,3171.331661,315.513364
8/17/2013,13865.19157,10401.80537,106.632447,16255.36079,8190.462421,9554.423546,1699.008436,10066.78284,3174.175657,316.027608
8/18/2013,13867.65789,10404.21033,106.562913,16257.84879,8192.033582,9557.159301,1699.423464,10067.84367,3174.870792,316.134196
8/19/2013,14027.3252,10520.4939,107.73961,16461.67817,8248.715237,9614.781484,1716.395852,10174.95251,3202.858661,319.318593
8/20/2013,14298.19839,10662.88145,109.463009,16704.86355,8366.522123,9664.972989,1739.081317,10273.02033,3243.600169,323.652431
